ANDERE,DERDEN,INFRABEL,NMBS
68.0,782.0,277.0,565.0
41.0,2453.0,289.0,653.0
41.0,921.0,251.0,658.0
15.0,619.0,257.0,557.0
67.0,920.0,324.0,718.0
40.0,1288.0,245.0,913.0
57.0,957.0,354.0,665.0
71.0,1030.0,267.0,673.0
17.0,1268.0,399.0,1021.0
164.0,863.0,385.0,898.0
85.0,964.0,495.0,912.0
58.0,894.0,309.0,854.0
277.0,1050.0,422.0,1004.0
58.0,946.0,342.0,774.0
126.0,1405.0,356.0,618.0
85.0,1067.0,506.0,603.0
234.0,2031.0,342.0,678.0
71.0,1021.0,577.0,761.0
239.0,1287.0,323.0,1036.0
71.0,816.0,340.0,685.0
119.0,921.0,499.0,812.0
89.0,750.0,590.0,937.0
60.0,721.0,598.0,1092.0
80.0,1018.0,463.0,783.0
56.0,966.0,330.0,674.0
115.0,1437.0,485.0,603.0
52.0,1508.0,344.0,939.0
29.0,387.0,108.0,170.0
95.0,787.0,276.0,457.0
27.0,713.0,511.0,573.0
39.0,870.0,219.0,522.0
153.0,751.0,371.0,757.0
45.0,732.0,606.0,770.0
136.0,712.0,382.0,690.0
153.0,775.0,378.0,614.0
95.0,786.0,300.0,660.0
72.0,787.0,534.0,852.0
397.0,1473.0,481.0,1154.0
52.0,1223.0,532.0,915.0
66.0,838.0,338.0,686.0
53.0,946.0,673.0,610.0
89.0,1088.0,632.0,1276.0
48.0,3777.0,270.0,691.0
85.0,850.0,414.0,714.0
79.0,1000.0,623.0,971.0
32.0,1290.0,448.0,1311.0
59.0,1358.0,434.0,1281.0
66.0,969.0,490.0,1237.0
59.0,999.0,356.0,1281.0
101.0,2946.0,297.0,777.0
141.0,1557.0,575.0,1431.0
229.0,1902.0,439.0,1313.0
188.0,1321.0,681.0,1397.0
84.0,1458.0,427.0,1898.0
130.0,1244.0,519.0,1656.0
143.0,825.0,282.0,1313.0
86.0,1346.0,633.0,1404.0
50.0,1543.0,740.0,1441.0
57.0,1329.0,549.0,1267.0
62.0,1859.0,724.0,3020.0
76.0,1362.0,348.0,1242.0
209.0,1341.0,776.0,2386.0
285.0,1510.0,588.0,1613.0
82.0,1156.0,497.0,1530.0
85.0,1719.0,1030.0,1729.0
211.0,1467.0,982.0,1872.0
101.0,1106.0,361.0,1015.0
67.0,1254.0,503.0,1071.0
117.0,1352.0,482.0,1609.0
177.0,1493.0,713.0,1744.0
113.0,2329.0,599.0,1730.0
118.0,1512.0,658.0,1766.0
91.0,1603.0,846.0,2129.0
77.0,1670.0,869.0,1601.0
111.0,1224.0,1042.0,1362.0
90.0,1429.0,585.0,1281.0
93.0,1720.0,692.0,1427.0
112.0,1344.0,715.0,1394.0
114.0,1772.0,555.0,1268.0
128.0,1234.0,539.0,1209.0
97.0,1669.0,798.0,1580.0
147.0,1466.0,849.0,1562.0
98.0,1604.0,571.0,1680.0
93.0,1222.0,356.0,1827.0
122.0,1299.0,646.0,2034.0
118.0,2191.0,538.0,2158.0
105.0,1491.0,602.0,1284.0
158.0,1533.0,522.0,1499.0
