Bachelor,Geen diploma,Secundair 2e graad,Secundair diploma,Universitair
3301,1308,2217,2186,1778
3292,1307,2207,2182,1787
3278,1286,2213,2183,1792
3314,1265,2163,2165,1792
3353,1235,2147,2108,1790
3360,1216,2077,2143,1791
3339,1197,2045,2140,1775
3339,1193,2014,2157,1790
3341,1167,2002,2164,1816
3342,1152,2004,2181,1816
3322,1136,2011,2181,1823
3313,1122,2008,2202,1830
3295,1113,1999,2226,1840
3305,1095,1999,2234,1845
3304,1085,1987,2228,1852
3309,1065,1992,2243,1858
3323,1044,1988,2218,1855
3325,1024,1972,2218,1861
3352,1018,1937,2169,1821
3369,1004,1940,2175,1858
3466,999,1938,2089,1877
3453,992,1935,2094,1897
3448,982,1913,2089,1907
3438,974,1900,2075,1910
3430,955,1894,2060,1919
3435,945,1864,2017,1929
3422,932,1842,2004,1935
3404,925,1835,2016,1943
3369,902,1816,1991,1952
3365,893,1808,1981,1955
3338,883,1796,1955,1941
3331,876,1792,1954,1966
3347,868,1800,1955,1997
3366,856,1828,1981,2001
3371,841,1846,1997,2010
3392,829,1841,1970,2008
3337,806,1829,1941,2066
3303,787,1816,1943,2074
3295,774,1809,1947,2079
3376,762,1809,1846,2082
3355,737,1791,1826,2075
3339,732,1775,1814,2083
3310,725,1740,1811,2072
3306,712,1722,1838,2084
3320,703,1713,1827,2108
3318,691,1699,1824,2111
3316,688,1691,1837,2115
3312,672,1689,1830,2114
3306,647,1678,1837,2129
3313,622,1687,1826,2129
3330,607,1679,1819,2120
3336,605,1676,1817,2128
3328,570,1681,1802,2124
3333,552,1705,1806,2128
3305,546,1702,1791,2110
3337,532,1719,1815,2130
3411,525,1720,1752,2156
3414,519,1720,1732,2162
3420,507,1725,1731,2169
3411,498,1722,1723,2176
3428,482,1536,1862,2195
3418,481,1546,1853,2194
3425,472,1545,1855,2199
3421,464,1540,1876,2207
3414,454,1558,1867,2207
3413,454,1551,1862,2220
3405,450,1540,1851,2181
3415,444,1541,1868,2221
3433,441,1547,1868,2256
3431,431,1543,1872,2259
3439,423,1543,1875,2270
3435,416,1555,1864,2269
3436,413,1551,1882,2279
3419,409,1551,1866,2290
3411,406,1544,1852,2301
3419,402,1543,1855,2308
3442,403,1530,1809,2310
3439,403,1532,1809,2318
3414,399,1521,1802,2283
3424,416,1524,1801,2313
3427,415,1514,1847,2337
3427,408,1504,1869,2342
3427,409,1498,1886,2361
3417,404,1491,1881,2385
3410,401,1489,1894,2404
3458,404,1478,1837,2410
3473,397,1469,1842,2412
3481,394,1472,1847,2421
3484,375,1470,1868,2437
